ï»¿Date,Home,Away,HG,AG,H_Max,D_Max,A_Max,H_Avg,D_Avg,A_Avg,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG
16/11/2025,Azerbaijan,France,1,3,26,9,1.14,20.94,8.39,1.12,2,17,1,4,10,12,1,8,2,0,0,0,0.15,2.7
16/11/2025,Hungary,Ireland,2,3,2.05,3.4,4,2.02,3.21,3.84,18,10,7,5,10,17,8,2,2,4,0,0,1.33,1.72
16/11/2025,Israel,Moldova,4,1,1.41,5,9.5,1.38,4.75,7.72,26,4,9,1,9,12,9,3,2,2,0,1,3.86,0.42
16/11/2025,Italy,Norway,1,4,2.22,3.7,3.33,2.14,3.53,3.19,15,13,4,5,15,8,6,2,3,2,0,0,1.3,1.59
16/11/2025,Nigeria,D.R. Congo,1,1,2.15,3,5,2.03,2.77,4.35,4,12,2,8,17,27,2,6,0,0,0,0,,
16/11/2025,Portugal,Armenia,9,1,1.04,21,67,1.03,16.11,47.28,34,4,15,2,7,10,7,1,0,1,0,0,5.69,0.75
16/11/2025,Serbia,Latvia,2,1,1.16,8.5,27,1.14,7.69,19.22,19,6,7,4,8,17,13,3,0,2,0,0,1.96,1.26
16/11/2025,Ukraine,Iceland,2,0,2,3.6,4,1.95,3.5,3.7,13,10,6,2,12,6,3,10,2,1,0,0,1.53,0.79
15/11/2025,Bosnia & Herzegovina,Romania,3,1,2.6,3.35,2.8,2.53,3.23,2.76,16,9,4,3,15,16,4,1,5,2,0,1,1.79,1.5
15/11/2025,Cyprus,Austria,0,2,11.5,6,1.33,9.56,5.7,1.28,4,12,0,6,13,15,6,3,2,0,0,0,0.36,2.51
15/11/2025,Denmark,Belarus,2,2,1.07,15,46,1.05,12.47,30.89,35,7,10,3,4,15,13,3,0,5,0,0,2.88,0.85
15/11/2025,Georgia,Spain,0,4,13,6.75,1.25,11.49,6.14,1.23,6,14,2,7,9,9,4,6,0,1,0,0,0.28,3.52
15/11/2025,Greece,Scotland,3,2,2.28,3.3,3.45,2.2,3.18,3.35,18,12,10,6,9,14,6,8,2,3,1,0,1.93,2.36
15/11/2025,Kazakhstan,Belgium,1,1,19,8.25,1.17,16.81,7.51,1.15,9,20,3,8,17,5,5,12,4,1,1,0,0.34,2.87
15/11/2025,Liechtenstein,Wales,0,1,81,26,1.03,58.41,17.85,1.02,3,18,0,7,9,5,2,7,2,3,0,0,0.28,2.85
15/11/2025,Slovenia,Kosovo,0,2,2.55,3,3.3,2.43,2.96,3.15,6,15,2,7,11,9,4,7,3,1,1,0,0.3,0.97
15/11/2025,Switzerland,Sweden,4,1,1.54,4.2,6.5,1.51,4.05,6.31,9,6,7,3,13,18,4,3,1,4,0,0,1.71,0.65
15/11/2025,Turkey,Bulgaria,2,0,1.14,12,23,1.11,9.33,19.31,19,9,6,2,11,12,9,6,3,1,0,0,2.56,0.39
14/11/2025,Bermuda,Curacao,0,7,12,6.5,1.28,10.5,5.83,1.21,5,27,1,15,20,8,3,7,5,1,0,0,0.14,3.68
14/11/2025,Croatia,Faroe Islands,3,1,1.1,13,29,1.08,10.61,25.83,20,4,4,4,9,11,11,2,0,2,0,0,2.68,0.45
14/11/2025,Finland,Malta,0,1,1.35,5,11,1.33,4.75,9.71,16,4,8,1,15,9,9,1,0,0,0,0,2.31,0.14
14/11/2025,Gibraltar,Montenegro,1,2,15,5.8,1.26,13.94,5.49,1.24,2,22,1,8,14,14,1,9,2,1,0,0,0.56,3.36
14/11/2025,Guatemala,Panama,2,3,3.7,3.25,2.28,3.41,2.96,2.17,24,9,8,5,11,10,9,2,0,2,0,0,2.87,0.4
14/11/2025,Haiti,Costa Rica,1,0,4.2,3.75,1.94,3.94,3.46,1.82,8,14,3,6,20,12,1,7,2,1,0,0,1.33,1.21
14/11/2025,Luxembourg,Germany,0,2,34,11,1.12,22.42,9.51,1.1,7,14,1,7,11,10,4,4,3,2,0,0,0.8,1.65
14/11/2025,Nicaragua,Honduras,2,0,8,4.1,1.5,6.93,3.83,1.45,11,15,3,5,11,8,5,10,1,2,0,0,0.91,0.95
14/11/2025,Poland,Netherlands,1,1,5,3.75,1.82,4.52,3.57,1.77,12,8,5,3,10,14,2,3,2,1,0,0,1.58,0.81
14/11/2025,Slovakia,Northern Ireland,1,0,2.25,3.05,4.1,2.14,2.95,3.85,16,9,2,2,14,20,3,2,1,4,0,1,1.17,0.37
14/11/2025,Trinidad & Tobago,Jamaica,1,1,3.4,3.4,2.2,3.21,3.27,2.1,17,6,6,1,10,13,3,4,0,4,0,0,1.48,0.46
13/11/2025,Andorra,Albania,0,1,16,5.25,1.3,13.58,4.82,1.27,3,12,0,2,18,7,1,3,3,2,0,0,0.12,1.4
13/11/2025,Armenia,Hungary,0,1,6.5,4.6,1.52,6.09,4.37,1.49,6,14,1,3,18,10,2,7,1,1,0,0,0.71,1.19
13/11/2025,Azerbaijan,Iceland,0,2,6,4.1,1.66,5.51,3.85,1.6,7,17,1,6,17,9,8,4,4,2,0,0,0.33,1.88
13/11/2025,Cameroon,D.R. Congo,0,1,2.15,3.15,4.4,2.08,2.85,3.96,12,8,5,5,18,11,1,4,3,1,0,0,,
13/11/2025,England,Serbia,2,0,1.32,6,13,1.28,5.49,10.77,19,7,6,1,13,10,6,5,0,1,0,0,1.2,0.38
13/11/2025,France,Ukraine,4,0,1.16,8,19,1.14,7.55,16.97,25,1,10,0,9,10,7,0,1,2,0,0,3.81,0.04
